% Station Finse, integrated monthly doses and sampling fraction (0= complete loss of measurements, 1=lossfree measurement
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: bjorn.johnsen@nrpa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1996	1	  3.2804E+03	  3.3451E+03	  8.5577E+03	  3.8147E+06	  5.0830E+03	  5.4918E+02	  1.6584E+03	  7.6530E+01	  6.7606E+04	  8.7501E+06	  1.1751E+02	0.000
1996	2	  1.0872E+04	  1.1053E+04	  4.1107E+04	  1.0756E+07	  1.8313E+04	  1.9528E+03	  7.2344E+03	  2.9230E+02	  1.9278E+05	  2.5644E+07	  3.5017E+02	0.000
1996	3	  3.2044E+04	  3.2461E+04	  1.7178E+05	  2.4827E+07	  5.9754E+04	  7.2263E+03	  3.1056E+04	  9.9533E+02	  4.5523E+05	  5.7850E+07	  7.8611E+02	0.717
1996	4	  6.0962E+04	  6.1586E+04	  3.9137E+05	  3.7242E+07	  1.2222E+05	  1.7380E+04	  7.6219E+04	  2.0854E+03	  7.0165E+05	  8.4503E+07	  1.1418E+03	1.000
1996	5	  8.4209E+04	  8.4899E+04	  5.8965E+05	  4.1535E+07	  1.7716E+05	  2.9784E+04	  1.2484E+05	  3.0822E+03	  8.0161E+05	  9.4361E+07	  1.2748E+03	1.000
1996	6	  8.2137E+04	  8.2728E+04	  5.8944E+05	  3.6472E+07	  1.7624E+05	  3.3119E+04	  1.3178E+05	  3.1166E+03	  7.0478E+05	  8.7348E+07	  1.1910E+03	1.000
1996	7	  6.3842E+04	  6.4294E+04	  4.5925E+05	  2.8524E+07	  1.3730E+05	  2.6619E+04	  1.0408E+05	  2.4477E+03	  5.4121E+05	  7.3404E+07	  1.0141E+03	1.000
1996	8	  5.1900E+04	  5.2255E+04	  3.7427E+05	  2.2718E+07	  1.1203E+05	  2.2471E+04	  8.6177E+04	  2.0084E+03	  4.2926E+05	  6.1016E+07	  8.5121E+02	1.000
1996	9	  3.5557E+04	  3.5834E+04	  2.5060E+05	  1.7742E+07	  7.5332E+04	  1.3828E+04	  5.5155E+04	  1.3361E+03	  3.2783E+05	  4.8802E+07	  6.8543E+02	0.992
1996	10	  1.0763E+04	  1.0885E+04	  6.3990E+04	  7.5486E+06	  2.0933E+04	  2.9189E+03	  1.2332E+04	  3.5724E+02	  1.3647E+05	  1.9530E+07	  2.7184E+02	0.935
1996	11	  3.7491E+03	  3.8107E+03	  1.4290E+04	  3.6564E+06	  6.3550E+03	  7.4030E+02	  2.6609E+03	  1.0186E+02	  6.5562E+04	  8.6663E+06	  1.1823E+02	0.967
