% Station Kise, integrated monthly doses and sampling fraction (0= complete loss of measurements, 1=lossfree measurement
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  1.4710E+03	  1.5001E+03	  3.8160E+03	  1.7749E+06	  2.2757E+03	  2.5142E+02	  7.4690E+02	  3.4540E+01	  3.0524E+04	  4.4311E+06	  6.0281E+01	0.000
1995	2	  4.8051E+03	  4.8860E+03	  1.7876E+04	  4.9390E+06	  8.0579E+03	  8.7340E+02	  3.1727E+03	  1.2932E+02	  8.6250E+04	  1.2646E+07	  1.7456E+02	0.000
1995	3	  1.5786E+04	  1.5996E+04	  8.2702E+04	  1.3003E+07	  2.9193E+04	  3.5804E+03	  1.5041E+04	  4.8991E+02	  2.3008E+05	  3.3436E+07	  4.6149E+02	0.000
1995	4	  3.2547E+04	  3.2891E+04	  2.0555E+05	  2.1759E+07	  6.4725E+04	  9.4163E+03	  4.0320E+04	  1.1197E+03	  3.8762E+05	  5.8074E+07	  8.0620E+02	0.000
1995	5	  5.0560E+04	  5.0992E+04	  3.4954E+05	  2.7609E+07	  1.0551E+05	  1.8041E+04	  7.4285E+04	  1.8606E+03	  5.0224E+05	  7.4413E+07	  1.0352E+03	0.000
1995	6	  6.3123E+04	  6.3589E+04	  4.5016E+05	  2.9835E+07	  1.3489E+05	  2.5724E+04	  1.0110E+05	  2.4062E+03	  5.5542E+05	  7.9838E+07	  1.1101E+03	0.000
1995	7	  7.1698E+04	  7.2207E+04	  5.1442E+05	  3.2593E+07	  1.5405E+05	  3.0205E+04	  1.1714E+05	  2.7565E+03	  6.1074E+05	  8.7444E+07	  1.2175E+03	0.000
1995	8	  5.9277E+04	  5.9720E+04	  4.2303E+05	  2.8371E+07	  1.2653E+05	  2.3822E+04	  9.4356E+04	  2.2536E+03	  5.2662E+05	  7.7054E+07	  1.0763E+03	0.000
1995	9	  2.1447E+04	  2.1644E+04	  1.4428E+05	  1.2656E+07	  4.4086E+04	  7.1916E+03	  2.9933E+04	  7.7289E+02	  2.2717E+05	  3.5536E+07	  5.0037E+02	0.000
1995	10	  7.9549E+03	  8.0498E+03	  4.5734E+04	  6.0501E+06	  1.5256E+04	  2.1034E+03	  8.7575E+03	  2.6151E+02	  1.0553E+05	  1.7259E+07	  2.4418E+02	0.000
