% Station Landvik, integrated monthly doses and sampling fraction (0= complete loss of measurements, 1=lossfree measurement
% The station is drifted by NRPA - Norwegian Radiation Protection Authority (email: bjorn.johnsen@nrpa.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  2.0182E+03	  2.0554E+03	  6.1589E+03	  2.2903E+06	  3.2366E+03	  3.5695E+02	  1.1527E+03	  5.0724E+01	  3.9336E+04	  5.9731E+06	  8.2453E+01	0.000
1995	2	  6.0319E+03	  6.1268E+03	  2.5302E+04	  5.8802E+06	  1.0434E+04	  1.1722E+03	  4.4896E+03	  1.7075E+02	  1.0201E+05	  1.5640E+07	  2.1748E+02	0.000
1995	3	  1.5795E+04	  1.5992E+04	  8.8348E+04	  1.2408E+07	  2.9891E+04	  3.8748E+03	  1.6437E+04	  5.0815E+02	  2.1756E+05	  3.3344E+07	  4.6365E+02	0.000
1995	4	  3.7232E+04	  3.7604E+04	  2.4249E+05	  2.3716E+07	  7.5122E+04	  1.1429E+04	  4.8586E+04	  1.3086E+03	  4.2248E+05	  6.4483E+07	  8.9816E+02	0.000
1995	5	  6.2563E+04	  6.3071E+04	  4.3867E+05	  3.2482E+07	  1.3175E+05	  2.3333E+04	  9.4861E+04	  2.3325E+03	  5.9556E+05	  8.7083E+07	  1.2103E+03	0.000
1995	6	  7.3198E+04	  7.3717E+04	  5.2578E+05	  3.3175E+07	  1.5733E+05	  3.0829E+04	  1.1967E+05	  2.8158E+03	  6.2225E+05	  8.8314E+07	  1.2267E+03	0.000
1995	7	  8.4013E+04	  8.4584E+04	  6.0630E+05	  3.6556E+07	  1.8150E+05	  3.6649E+04	  1.4008E+05	  3.2596E+03	  6.9047E+05	  9.7606E+07	  1.3577E+03	0.000
1995	8	  7.1232E+04	  7.1742E+04	  5.1171E+05	  3.2673E+07	  1.5295E+05	  2.9694E+04	  1.1590E+05	  2.7340E+03	  6.1089E+05	  8.8398E+07	  1.2338E+03	0.000
1995	9	  2.4028E+04	  2.4235E+04	  1.6535E+05	  1.3300E+07	  5.0043E+04	  8.5446E+03	  3.5095E+04	  8.8175E+02	  2.4092E+05	  3.7115E+07	  5.2188E+02	0.000
1995	10	  9.0052E+03	  9.1055E+03	  5.4615E+04	  6.4168E+06	  1.7639E+04	  2.5436E+03	  1.0668E+04	  3.0459E+02	  1.1244E+05	  1.8418E+07	  2.6084E+02	0.000
1995	11	  3.2854E+03	  3.3344E+03	  1.4710E+04	  3.1045E+06	  5.8096E+03	  7.1948E+02	  2.7317E+03	  9.6774E+01	  5.3031E+04	  8.8748E+06	  1.2544E+02	0.000
1995	12	  1.2302E+03	  1.2537E+03	  3.4424E+03	  1.4695E+06	  1.9369E+03	  2.2318E+02	  6.7849E+02	  3.0028E+01	  2.4827E+04	  3.9305E+06	  5.4235E+01	0.000
1996	1	  2.2549E+03	  2.2947E+03	  8.5287E+03	  2.3475E+06	  3.7979E+03	  4.6138E+02	  1.6456E+03	  6.1104E+01	  4.0438E+04	  5.9910E+06	  8.1555E+01	0.194
1996	2	  7.4237E+03	  7.5153E+03	  4.2418E+04	  5.7045E+06	  1.4176E+04	  1.9090E+03	  8.1343E+03	  2.4227E+02	  1.0011E+05	  1.4666E+07	  1.9982E+02	1.000
1996	3	  2.2659E+04	  2.2850E+04	  1.5307E+05	  1.3478E+07	  4.6361E+04	  7.2797E+03	  3.1163E+04	  8.1370E+02	  2.4308E+05	  3.4855E+07	  4.7703E+02	1.000
1996	4	  4.4765E+04	  4.5106E+04	  3.1412E+05	  2.4069E+07	  9.3801E+04	  1.5922E+04	  6.6647E+04	  1.6536E+03	  4.3877E+05	  6.3285E+07	  8.7159E+02	0.799
1996	5	  5.5158E+04	  5.5536E+04	  3.9924E+05	  2.6577E+07	  1.1785E+05	  2.1560E+04	  8.7896E+04	  2.0961E+03	  4.9312E+05	  6.7919E+07	  9.2599E+02	1.000
1996	6	  8.4332E+04	  8.4887E+04	  6.1976E+05	  3.6276E+07	  1.8319E+05	  3.6544E+04	  1.4270E+05	  3.2873E+03	  6.8554E+05	  9.2482E+07	  1.2662E+03	0.999
1996	7	  9.0368E+04	  9.0964E+04	  6.6351E+05	  3.9438E+07	  1.9606E+05	  3.8871E+04	  1.5237E+05	  3.5133E+03	  7.4260E+05	  1.0163E+08	  1.3964E+03	0.987
