% Station Nyaalesund, integrated monthly doses and sampling fraction (0= complete loss of measurements, 1=lossfree measurement
% The station is drifted by NILU - Norwegian Institute for Air Research (email: tove.svendby@nilu.no)
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	0.000
1995	2	  5.3515E+01	  5.4779E+01	  1.1508E+02	  7.6682E+04	  7.6141E+01	  8.8607E+00	  2.3882E+01	  9.7887E-01	  1.3102E+03	  1.4582E+05	  1.7068E+00	0.000
1995	3	  3.6350E+03	  3.7113E+03	  8.0850E+03	  4.5885E+06	  5.4332E+03	  5.5131E+02	  1.5347E+03	  7.9618E+01	  7.9636E+04	  1.0990E+07	  1.4806E+02	0.000
1995	4	  1.7549E+04	  1.7831E+04	  7.1352E+04	  1.7120E+07	  3.0062E+04	  3.2849E+03	  1.2563E+04	  4.8544E+02	  3.0252E+05	  4.2376E+07	  5.8051E+02	0.000
1995	5	  4.0835E+04	  4.1351E+04	  2.2470E+05	  3.1771E+07	  7.6926E+04	  9.8088E+03	  4.1674E+04	  1.2967E+03	  5.6787E+05	  8.0516E+07	  1.1098E+03	0.000
1995	6	  5.2850E+04	  5.3415E+04	  3.3459E+05	  3.4746E+07	  1.0527E+05	  1.5285E+04	  6.5719E+04	  1.8186E+03	  6.2466E+05	  9.0059E+07	  1.2423E+03	0.244
1995	7	  4.7237E+04	  4.7713E+04	  3.2225E+05	  2.7947E+07	  9.7123E+04	  1.5431E+04	  6.6153E+04	  1.7076E+03	  5.0091E+05	  7.2328E+07	  9.8797E+02	0.998
1995	8	  2.6734E+04	  2.7044E+04	  1.7434E+05	  1.7556E+07	  5.3739E+04	  7.9545E+03	  3.4643E+04	  9.3641E+02	  3.1176E+05	  4.5762E+07	  6.2837E+02	0.998
1995	9	  8.5228E+03	  8.6755E+03	  4.6021E+04	  7.1395E+06	  1.5973E+04	  2.0101E+03	  8.7022E+03	  2.6765E+02	  1.2467E+05	  1.8314E+07	  2.4788E+02	0.974
1995	10	  1.1102E+03	  1.1422E+03	  5.5433E+03	  9.9474E+05	  2.0311E+03	  3.5481E+02	  1.1058E+03	  3.4052E+01	  1.7225E+04	  2.3793E+06	  3.0400E+01	0.968
1995	11	  6.8947E+01	  6.9240E+01	  4.3560E+02	  5.4971E+03	  1.6118E+02	  8.3356E+01	  1.5905E+02	  3.1864E+00	  1.8416E+02	  1.8149E+04	  2.7168E-01	0.867
1995	12	  6.5071E+01	  6.5279E+01	  4.1370E+02	  3.5722E+03	  1.5307E+02	  8.0263E+01	  1.5256E+02	  3.0361E+00	  1.4916E+02	  1.3681E+04	  2.1659E-01	0.871
1996	1	  1.3664E+00	  1.3545E+00	  7.7737E+00	  2.0175E+02	  2.9897E+00	  1.3724E+00	  2.5285E+00	  5.8506E-02	  5.9436E+00	  6.6625E+02	  1.0568E-02	0.968
1996	2	  2.3680E+02	  2.4754E+02	  9.0291E+02	  2.5370E+05	  4.0352E+02	  7.1110E+01	  1.7737E+02	  6.6350E+00	  4.2484E+03	  5.6999E+05	  6.8683E+00	1.000
1996	3	  4.6301E+03	  4.7522E+03	  2.0586E+04	  4.4943E+06	  8.1543E+03	  9.6235E+02	  3.7458E+03	  1.3442E+02	  7.7842E+04	  1.0630E+07	  1.3652E+02	1.000
1996	4	  2.1605E+04	  2.2084E+04	  9.8644E+04	  2.0696E+07	  3.8235E+04	  4.5688E+03	  1.7630E+04	  6.4454E+02	  3.5232E+05	  5.2802E+07	  7.0159E+02	0.995
1996	5	  5.2895E+04	  5.3649E+04	  3.1934E+05	  3.9044E+07	  1.0266E+05	  1.3932E+04	  6.0730E+04	  1.7805E+03	  6.8103E+05	  9.9019E+07	  1.3221E+03	0.998
1996	6	  5.9781E+04	  6.0461E+04	  3.9816E+05	  3.7264E+07	  1.2128E+05	  1.8285E+04	  7.9692E+04	  2.1258E+03	  6.6387E+05	  9.2461E+07	  1.2296E+03	0.998
1996	7	  4.6130E+04	  4.6643E+04	  3.0842E+05	  2.8865E+07	  9.3774E+04	  1.4313E+04	  6.2177E+04	  1.6424E+03	  5.1277E+05	  7.4541E+07	  1.0130E+03	0.998
1996	8	  2.2021E+04	  2.2308E+04	  1.3943E+05	  1.5161E+07	  4.3699E+04	  6.2618E+03	  2.7309E+04	  7.5948E+02	  2.6774E+05	  3.8606E+07	  5.2213E+02	0.967
1996	9	  7.5010E+03	  7.6319E+03	  4.1009E+04	  6.2360E+06	  1.4081E+04	  1.7658E+03	  7.7299E+03	  2.3585E+02	  1.0921E+05	  1.5894E+07	  2.1463E+02	0.867
1996	10	  9.5729E+02	  9.8758E+02	  4.7420E+03	  9.0640E+05	  1.7257E+03	  2.5872E+02	  8.8419E+02	  2.8521E+01	  1.5575E+04	  2.1488E+06	  2.7249E+01	0.968
1996	11	  8.3122E+00	  8.3959E+00	  5.0602E+01	  1.6708E+03	  1.8881E+01	  9.2072E+00	  1.7848E+01	  3.6715E-01	  3.7203E+01	  4.4886E+03	  6.0041E-02	0.933
1996	12	 -9.6303E-01	 -9.7167E-01	 -5.9452E+00	 -4.0565E+01	 -2.2597E+00	 -1.1996E+00	 -2.2534E+00	 -4.5414E-02	 -2.0865E+00	  1.4464E+02	  3.2824E-03	1.000
1997	1	  8.2618E-01	  8.2400E-01	  3.2697E+00	  9.7780E+01	  1.7926E+00	  1.1034E+00	  1.7104E+00	  3.6414E-02	  2.9924E+00	  4.8917E+02	  7.9326E-03	0.968
1997	2	  2.0039E+02	  2.0925E+02	  7.7925E+02	  2.1404E+05	  3.4426E+02	  6.3863E+01	  1.5785E+02	  5.6402E+00	  3.5685E+03	  5.0387E+05	  6.2254E+00	0.893
1997	3	  6.1947E+03	  6.3381E+03	  2.9537E+04	  5.6528E+06	  1.1132E+04	  1.3663E+03	  5.4423E+03	  1.8447E+02	  9.9103E+04	  1.3385E+07	  1.7353E+02	0.935
1997	4	  2.6722E+04	  2.7111E+04	  1.5452E+05	  2.0198E+07	  5.1206E+04	  6.7697E+03	  2.9091E+04	  8.8164E+02	  3.5627E+05	  4.9750E+07	  6.6116E+02	0.998
1997	5	  4.6967E+04	  4.7659E+04	  2.7048E+05	  3.6101E+07	  8.9592E+04	  1.1926E+04	  5.0680E+04	  1.5519E+03	  6.2880E+05	  9.0924E+07	  1.2082E+03	0.998
1997	6	  6.3997E+04	  6.4689E+04	  4.2257E+05	  3.9954E+07	  1.2965E+05	  1.9868E+04	  8.5186E+04	  2.2704E+03	  7.1207E+05	  1.0233E+08	  1.3843E+03	0.931
1997	7	  3.9873E+04	  4.0273E+04	  2.7092E+05	  2.3310E+07	  8.2023E+04	  1.3285E+04	  5.6063E+04	  1.4448E+03	  4.1936E+05	  5.9795E+07	  8.1395E+02	0.966
1997	8	  2.2569E+04	  2.2850E+04	  1.4264E+05	  1.5436E+07	  4.4821E+04	  6.5530E+03	  2.8153E+04	  7.7992E+02	  2.7262E+05	  4.0126E+07	  5.4819E+02	0.966
1997	9	  7.2174E+03	  7.3594E+03	  3.7462E+04	  6.2256E+06	  1.3308E+04	  1.6710E+03	  6.9344E+03	  2.2298E+02	  1.0883E+05	  1.5343E+07	  2.0287E+02	0.963
1997	10	  9.1400E+02	  9.4601E+02	  4.1369E+03	  9.3322E+05	  1.6086E+03	  2.3251E+02	  7.8397E+02	  2.6191E+01	  1.5843E+04	  2.2822E+06	  2.9306E+01	0.903
1997	11	  7.8536E+00	  7.9453E+00	  4.7201E+01	  1.8880E+03	  1.7664E+01	  8.4277E+00	  1.6429E+01	  3.4146E-01	  3.9796E+01	  5.0029E+03	  6.6230E-02	0.967
1997	12	 -2.1041E-01	 -2.1867E-01	 -2.0598E+00	 -1.1813E+01	 -5.5687E-01	 -2.4444E-01	 -6.1636E-01	 -1.0770E-02	 -2.5043E-01	  1.2803E+02	  2.7507E-03	1.000
1998	1	 -1.2370E-01	 -1.2678E-01	 -9.3016E-01	 -1.0680E+01	 -3.0555E-01	 -1.5460E-01	 -3.2584E-01	 -6.0129E-03	 -2.6713E-01	  1.3708E+01	  4.7477E-04	0.258
1998	2	  1.8672E+02	  1.9792E+02	  5.7191E+02	  2.3383E+05	  3.0720E+02	  6.0018E+01	  1.3658E+02	  4.8489E+00	  3.7730E+03	  5.6858E+05	  7.0546E+00	0.393
1998	3	  4.5726E+03	  4.7433E+03	  1.4238E+04	  5.3000E+06	  7.4403E+03	  9.2506E+02	  2.7197E+03	  1.2021E+02	  8.9517E+04	  1.2593E+07	  1.5980E+02	0.968
1998	4	  2.1884E+04	  2.2405E+04	  9.1786E+04	  2.1692E+07	  3.7932E+04	  4.6617E+03	  1.6488E+04	  6.4000E+02	  3.6869E+05	  5.4612E+07	  7.1888E+02	0.999
1998	5	  4.9734E+04	  5.0496E+04	  2.7347E+05	  3.9457E+07	  9.3371E+04	  1.2244E+04	  5.0599E+04	  1.6147E+03	  6.8790E+05	  9.7347E+07	  1.2795E+03	0.914
1998	6	  6.4578E+04	  6.5314E+04	  4.0858E+05	  4.2719E+07	  1.2842E+05	  1.8909E+04	  8.0563E+04	  2.2403E+03	  7.5937E+05	  1.0788E+08	  1.4488E+03	0.832
1998	7	  4.3418E+04	  4.3886E+04	  2.8518E+05	  2.7504E+07	  8.7768E+04	  1.3485E+04	  5.7573E+04	  1.5363E+03	  4.8872E+05	  7.2099E+07	  9.8715E+02	0.958
1998	8	  2.1621E+04	  2.1900E+04	  1.3481E+05	  1.5155E+07	  4.2668E+04	  6.1452E+03	  2.6408E+04	  7.4127E+02	  2.6664E+05	  3.9545E+07	  5.4042E+02	0.998
1998	9	  8.1676E+03	  8.3178E+03	  4.3201E+04	  6.9503E+06	  1.5193E+04	  1.8934E+03	  8.1385E+03	  2.5440E+02	  1.2129E+05	  1.7634E+07	  2.3716E+02	0.900
1998	10	  8.7397E+02	  9.0480E+02	  3.8122E+03	  8.9913E+05	  1.5230E+03	  2.2057E+02	  7.1972E+02	  2.4830E+01	  1.5322E+04	  2.1083E+06	  2.6558E+01	0.806
1998	11	  6.6265E+00	  6.7442E+00	  5.3125E+01	  1.5186E+03	  1.5950E+01	  6.6354E+00	  1.5668E+01	  2.9963E-01	  2.9092E+01	  4.2607E+03	  5.6901E-02	0.933
1998	12	  9.2562E+00	  9.3197E+00	  6.0603E+01	  7.5511E+02	  2.1924E+01	  1.1383E+01	  2.2131E+01	  4.3186E-01	  2.3466E+01	  2.7960E+03	  4.1970E-02	0.903
1999	1	  2.2962E+00	  2.2960E+00	  1.4234E+01	  2.0386E+02	  5.3194E+00	  2.7253E+00	  5.1571E+00	  1.0471E-01	  6.6320E+00	  9.6038E+02	  1.5750E-02	0.935
1999	2	  1.3521E+02	  1.4506E+02	  4.0081E+02	  1.9974E+05	  2.1275E+02	  2.5370E+01	  8.0586E+01	  3.0824E+00	  3.1514E+03	  4.9341E+05	  6.1551E+00	0.929
1999	3	  3.8149E+03	  4.0223E+03	  8.1322E+03	  5.3813E+06	  5.7815E+03	  6.2154E+02	  1.6307E+03	  8.8853E+01	  8.7671E+04	  1.3127E+07	  1.6632E+02	0.997
1999	4	  2.0674E+04	  2.1249E+04	  8.1396E+04	  2.1465E+07	  3.5211E+04	  4.2610E+03	  1.4543E+04	  5.9288E+02	  3.6225E+05	  5.2101E+07	  6.6813E+02	0.986
1999	5	  4.6042E+04	  4.6729E+04	  2.7261E+05	  3.4230E+07	  8.8740E+04	  1.1966E+04	  5.1470E+04	  1.5431E+03	  5.9902E+05	  8.3084E+07	  1.0833E+03	0.995
1999	6	  4.2276E+04	  4.2786E+04	  2.7469E+05	  2.7650E+07	  8.4871E+04	  1.2587E+04	  5.4615E+04	  1.4821E+03	  4.8835E+05	  7.0320E+07	  9.4329E+02	0.992
1999	7	  4.4331E+04	  4.4864E+04	  2.9112E+05	  2.8912E+07	  8.9526E+04	  1.3646E+04	  5.8863E+04	  1.5621E+03	  5.0837E+05	  7.7006E+07	  1.0577E+03	0.998
1999	8	  1.9308E+04	  1.9602E+04	  1.1744E+05	  1.4790E+07	  3.7655E+04	  5.2122E+03	  2.2867E+04	  6.4596E+02	  2.5440E+05	  4.1130E+07	  5.7489E+02	0.998
