% Station Tromsø, integrated monthly doses and sampling fraction (0= complete loss of measurements, 1=lossfree measurement
% All units except PAR: J/m^2. Units PAR: mol/m^2
% Calculations and calibrations: Bjørn Johnsen, Statens strålevern (Norwegian Radiation Protection Authority
% E-mail: Bjorn.Johnsen@nrpa.no
%
% Actionspectra:
% CIE1987: Erythema action spectrum: A.F. McKinlay, A.F. and B.L. Diffey, A reference action spectrum for ultraviolet induced erythema in human skin", CIE Research Note, 6(1), 17-22, 1987
% CIE1998: Erythema action spectrum: Commission Internationale de l’Eclairage (1998) Erythema Reference Action Spectrum and Standard Erythema Dose. CIE S007E-1998. CIE Central Bureau, Vienna, Austria
% UVB: ISO 21348 Definitions of Solar Irradiance Spectral Categories (280<=Wl<315 nm)
% UVA: ISO 21348 Definitions of Solar Irradiance Spectral Categories (315<=Wl<400 nm)
% NMSC: ISO/FDIS 28077:2016E Photocarcinogenesis Action Spectrum, (Non-Melanoma Skin Cancers, NMSC). CIE Central Bureau, Vienna
% DNA: R. B. Setlow, The wavelengths in sunlight effective in producing skin cancer: a theoretical analysis", Proc. Nat. Acad. Sci., USA, 71 , No. 9,  pp. 3363-3366, 1974. Converted from effect per quantum to effect per energy. Downloaded from: Downloaded from: http://uv.biospherical.com/Version2/doserates/SetlowTUV.txt
% VITD: CIE 174:2006, Action spectrum for the conversion of 7-DH7 to previtamin D3 in human skin
% ANCHOVY: Action spectrum for damage to eggs and larvae of northern anchovy. Spectrum sugge and sted by: J.H. Hunter, J.H. Taylor, and H.G. Moser, "Effect of ultraviolet irradiation on eggs and larvae of the northern anchovy, Engraulis mordax, and the pacific mackerel, Scomber japonicus, during the embryonic stage", Photochemistry and Photobiology, 29, 325-338, 1979. Downloaded from: http://uv.biospherical.com/Version2/doserates/Hunter.txt
% FLINTPLANT: Action spectrum for growth responses of plants. Action spectrum suggested by: S. D. Flint and M. M. Caldwell, "A biological spectral weighting function for ozone depletion research with higher plants", Physiologia Plantarum, 117,137-144, 2003. Downloaded from: http://uv.biospherical.com/Version2/doserates/Flint.txt
% HEP: A. Brun & B. Hamre. Proposed action spectrum for Hematopoetic porfyri, HEP
% PAR: Photosynthetic active radiation, 400-700 nm
%
% Columns: Year	Month	CIE1987	CIE1998	UVB	UVA	NMSC	DNA	VITD	ANCHOVY	FLINTPLANT	HEP	PAR	Fraction [rel. units]
1995	1	  2.8490E+01	  2.9121E+01	  7.1834E+01	  3.9183E+04	  4.2227E+01	  5.3791E+00	  1.5346E+01	  5.7685E-01	  6.5819E+02	  8.0851E+04	  9.6865E-01	0.000
1995	2	  1.4495E+03	  1.4804E+03	  3.1109E+03	  1.9031E+06	  2.1508E+03	  2.2932E+02	  6.1833E+02	  3.1444E+01	  3.2253E+04	  4.8113E+06	  6.5145E+01	0.000
1995	3	  7.4787E+03	  7.6053E+03	  2.7685E+04	  7.9087E+06	  1.2509E+04	  1.3602E+03	  4.9089E+03	  2.0152E+02	  1.3540E+05	  2.1413E+07	  2.9791E+02	0.000
1995	4	  2.4388E+04	  2.4698E+04	  1.3390E+05	  1.9754E+07	  4.5832E+04	  5.9016E+03	  2.4829E+04	  7.7937E+02	  3.4250E+05	  5.4818E+07	  7.6660E+02	0.000
1995	5	  4.8390E+04	  4.8876E+04	  3.1391E+05	  3.1042E+07	  9.7497E+04	  1.4834E+04	  6.2950E+04	  1.6967E+03	  5.5229E+05	  8.4884E+07	  1.1842E+03	0.000
1995	6	  4.7058E+04	  4.7470E+04	  3.2240E+05	  2.6304E+07	  9.7772E+04	  1.6544E+04	  6.8233E+04	  1.7201E+03	  4.7685E+05	  7.1442E+07	  9.9607E+02	0.000
1995	7	  4.4046E+04	  4.5277E+04	  3.1969E+05	  2.2265E+07	  9.5341E+04	  1.7398E+04	  7.0022E+04	  1.7026E+03	  4.1169E+05	  5.8225E+07	  8.0067E+02	0.533
1995	8	  2.6707E+04	  2.8090E+04	  2.0001E+05	  1.3771E+07	  5.9088E+04	  1.0560E+04	  4.3132E+04	  1.0599E+03	  2.5575E+05	  3.4605E+07	  4.6829E+02	0.990
1995	9	  1.5916E+04	  1.6672E+04	  1.0780E+05	  1.0433E+07	  3.3392E+04	  5.1732E+03	  2.1904E+04	  5.8060E+02	  1.8676E+05	  2.8248E+07	  3.9098E+02	0.824
1995	10	  4.0126E+03	  4.1519E+03	  2.3437E+04	  3.4489E+06	  7.6148E+03	  9.4892E+02	  4.6978E+03	  1.2543E+02	  6.0114E+04	  8.8716E+06	  1.1867E+02	0.894
1995	11	  3.6938E+02	  4.0083E+02	  2.0102E+03	  4.0285E+05	  6.5851E+02	  1.1114E+02	  5.3314E+02	  9.9492E+00	  6.8379E+03	  9.5328E+05	  1.2059E+01	0.729
1995	12	  7.5533E+01	  6.0963E+01	  4.5226E+02	  1.5391E+04	  1.2719E+02	  4.7525E+01	  2.1078E+02	  2.1020E+00	  3.0060E+02	  4.3089E+04	  5.7299E-01	0.806
1996	1	  9.7596E+01	  1.0648E+02	  5.6515E+02	  1.0067E+05	  1.7824E+02	  3.4381E+01	  1.6120E+02	  2.7089E+00	  1.7048E+03	  2.4225E+05	  3.0554E+00	0.612
1996	2	  2.0943E+03	  2.1964E+03	  1.1497E+04	  2.1465E+06	  3.7333E+03	  4.1612E+02	  2.2599E+03	  5.8302E+01	  3.6901E+04	  5.1875E+06	  6.6847E+01	0.994
1996	3	  1.2170E+04	  1.2594E+04	  7.0015E+04	  9.8230E+06	  2.3491E+04	  3.0752E+03	  1.3293E+04	  4.0306E+02	  1.7197E+05	  2.5277E+07	  3.4085E+02	0.956
1996	4	  2.7258E+04	  2.8401E+04	  1.7580E+05	  1.9451E+07	  5.5141E+04	  7.7001E+03	  3.3581E+04	  9.6676E+02	  3.4454E+05	  4.9243E+07	  6.6450E+02	0.996
1996	5	  5.5704E+04	  5.8649E+04	  3.9237E+05	  3.4412E+07	  1.1906E+05	  1.8931E+04	  7.9966E+04	  2.1147E+03	  6.2040E+05	  8.7820E+07	  1.1912E+03	0.926
1996	6	  5.0293E+04	  5.2983E+04	  3.7205E+05	  2.7130E+07	  1.1075E+05	  1.9494E+04	  7.9749E+04	  1.9800E+03	  4.9926E+05	  6.8242E+07	  9.2154E+02	0.987
1996	7	  5.4346E+04	  5.7029E+04	  4.0204E+05	  2.8463E+07	  1.1985E+05	  2.1609E+04	  8.7293E+04	  2.1454E+03	  5.2498E+05	  7.3519E+07	  1.0042E+03	0.922
1996	8	  4.0320E+04	  4.2445E+04	  2.9664E+05	  2.1721E+07	  8.8831E+04	  1.5826E+04	  6.3904E+04	  1.5839E+03	  3.9862E+05	  5.8192E+07	  8.0599E+02	0.888
1996	9	  1.4678E+04	  1.5324E+04	  1.0126E+05	  9.1802E+06	  3.0975E+04	  4.9305E+03	  2.0746E+04	  5.4085E+02	  1.6553E+05	  2.4544E+07	  3.3882E+02	0.661
1996	10	  3.2011E+03	  3.2887E+03	  1.9138E+04	  2.7373E+06	  6.0122E+03	  7.2554E+02	  3.8177E+03	  9.8443E+01	  4.7865E+04	  6.7831E+06	  8.9309E+01	0.926
1996	11	  3.4209E+02	  4.1522E+02	  1.8975E+03	  4.6539E+05	  6.5432E+02	  9.1283E+01	  4.3345E+02	  9.7380E+00	  7.8136E+03	  1.1173E+06	  1.4123E+01	0.967
1996	12	  1.5457E+01	  1.9515E+01	  7.5805E+01	  2.1069E+04	  3.1006E+01	  5.7754E+00	  2.1097E+01	  4.8863E-01	  3.5089E+02	  4.9290E+04	  6.1131E-01	1.000
1997	1	  8.2409E+01	  1.1893E+02	  4.2193E+02	  1.4251E+05	  1.8302E+02	  2.7364E+01	  9.6900E+01	  2.7949E+00	  2.3606E+03	  3.4139E+05	  4.2803E+00	0.926
1997	2	  1.6266E+03	  1.7743E+03	  6.7576E+03	  1.9698E+06	  2.8082E+03	  3.2366E+02	  1.3302E+03	  4.3965E+01	  3.3393E+04	  4.7706E+06	  6.1566E+01	0.907
1997	3	  1.1470E+04	  1.1720E+04	  5.9024E+04	  9.9745E+06	  2.1052E+04	  2.6239E+03	  1.0909E+04	  3.6050E+02	  1.7298E+05	  2.5399E+07	  3.4099E+02	0.916
1997	4	  3.3294E+04	  3.4523E+04	  2.2788E+05	  2.0819E+07	  6.9249E+04	  1.0730E+04	  4.5797E+04	  1.2238E+03	  3.7585E+05	  5.1707E+07	  6.9410E+02	1.000
1997	5	  4.9647E+04	  5.1858E+04	  3.4673E+05	  3.0313E+07	  1.0508E+05	  1.6742E+04	  7.0743E+04	  1.8712E+03	  5.4776E+05	  7.5477E+07	  1.0139E+03	0.999
1997	6	  6.7934E+04	  7.1221E+04	  4.9871E+05	  3.6060E+07	  1.4922E+05	  2.6951E+04	  1.0836E+05	  2.6671E+03	  6.6310E+05	  9.3167E+07	  1.2715E+03	0.993
1997	7	  5.8822E+04	  6.1449E+04	  4.3996E+05	  2.8194E+07	  1.3087E+05	  2.5260E+04	  9.8936E+04	  2.3585E+03	  5.2661E+05	  7.2584E+07	  9.9097E+02	0.950
1997	8	  3.1641E+04	  3.3137E+04	  2.3229E+05	  1.6685E+07	  6.9364E+04	  1.2483E+04	  5.0290E+04	  1.2409E+03	  3.0784E+05	  4.3078E+07	  5.8860E+02	0.979
1997	9	  1.3643E+04	  1.4272E+04	  9.1346E+04	  9.0472E+06	  2.8409E+04	  4.3732E+03	  1.8433E+04	  4.9524E+02	  1.6197E+05	  2.3795E+07	  3.2573E+02	1.000
1997	10	  3.6057E+03	  3.7615E+03	  1.9073E+04	  3.4184E+06	  6.6644E+03	  7.8562E+02	  3.6883E+03	  1.0896E+02	  5.8903E+04	  8.9033E+06	  1.1919E+02	0.971
1997	11	  3.3344E+02	  3.9568E+02	  1.9780E+03	  4.3172E+05	  6.3180E+02	  8.5978E+01	  4.4651E+02	  9.3688E+00	  7.2792E+03	  1.0285E+06	  1.2974E+01	0.833
1997	12	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	  0.0000E+00	0.032
1998	1	  2.7257E+01	  2.7861E+01	  6.8471E+01	  3.7520E+04	  4.0369E+01	  5.1358E+00	  1.4628E+01	  5.5124E-01	  6.3024E+02	  7.7546E+04	  9.3007E-01	0.000
1998	2	  1.4358E+03	  1.5041E+03	  4.9166E+03	  1.7101E+06	  2.3399E+03	  2.8583E+02	  1.0204E+03	  3.6918E+01	  2.9031E+04	  4.0745E+06	  5.2726E+01	0.393
1998	3	  9.4817E+03	  9.7948E+03	  4.3652E+04	  9.0464E+06	  1.6985E+04	  2.1377E+03	  8.1144E+03	  2.9086E+02	  1.5497E+05	  2.3251E+07	  3.1160E+02	1.000
1998	4	  2.5603E+04	  2.6475E+04	  1.4190E+05	  2.1436E+07	  4.8582E+04	  6.3263E+03	  2.6011E+04	  8.4542E+02	  3.7020E+05	  5.6156E+07	  7.6549E+02	1.000
1998	5	  3.7652E+04	  3.9307E+04	  2.5319E+05	  2.4728E+07	  7.8208E+04	  1.1963E+04	  5.0611E+04	  1.3881E+03	  4.4166E+05	  6.2129E+07	  8.3662E+02	0.967
1998	6	  6.4297E+04	  6.7154E+04	  4.6186E+05	  3.5159E+07	  1.3969E+05	  2.5203E+04	  1.0043E+05	  2.4937E+03	  6.4231E+05	  9.1610E+07	  1.2531E+03	0.941
1998	7	  6.0318E+04	  6.3012E+04	  4.3687E+05	  3.2501E+07	  1.3154E+05	  2.3701E+04	  9.4895E+04	  2.3503E+03	  5.9507E+05	  8.5440E+07	  1.1738E+03	0.887
1998	8	  3.5164E+04	  3.6407E+04	  2.4280E+05	  2.1136E+07	  7.4155E+04	  1.2186E+04	  5.0375E+04	  1.3098E+03	  3.8045E+05	  5.7138E+07	  7.9303E+02	0.606
1998	9	  1.4204E+04	  1.4888E+04	  9.6917E+04	  9.1541E+06	  2.9876E+04	  4.6966E+03	  1.9809E+04	  5.2193E+02	  1.6472E+05	  2.3835E+07	  3.2498E+02	1.000
1998	10	  3.2376E+03	  3.3905E+03	  1.7978E+04	  2.9714E+06	  6.0824E+03	  7.3999E+02	  3.5460E+03	  1.0015E+02	  5.1513E+04	  7.4842E+06	  9.8948E+01	0.946
1998	11	  3.6770E+02	  4.5763E+02	  2.0565E+03	  5.2795E+05	  7.1822E+02	  9.1419E+01	  4.4046E+02	  1.0513E+01	  8.8292E+03	  1.3168E+06	  1.6889E+01	0.999
1998	12	  1.7683E+01	  1.8493E+01	  1.0919E+02	  1.1477E+04	  3.5013E+01	  1.0586E+01	  4.4687E+01	  5.6946E-01	  1.9698E+02	  2.9549E+04	  3.7903E-01	1.000
1999	1	  8.2638E+01	  1.4119E+02	  3.4849E+02	  1.8605E+05	  2.0870E+02	  3.0767E+01	  7.7780E+01	  3.1862E+00	  3.0376E+03	  4.6962E+05	  5.9830E+00	1.000
1999	2	  1.4516E+03	  1.7517E+03	  4.4889E+03	  2.1441E+06	  2.6347E+03	  3.2143E+02	  8.8268E+02	  4.2038E+01	  3.5749E+04	  5.3454E+06	  6.9250E+01	1.000
1999	3	  7.6550E+03	  8.2216E+03	  2.5777E+04	  9.0183E+06	  1.3067E+04	  1.5877E+03	  4.4239E+03	  2.2453E+02	  1.5106E+05	  2.3695E+07	  3.1907E+02	1.000
1999	4	  2.0207E+04	  2.1108E+04	  1.1724E+05	  1.6485E+07	  3.9217E+04	  5.1603E+03	  2.1619E+04	  6.8659E+02	  2.8653E+05	  4.1923E+07	  5.6495E+02	1.000
1999	5	  4.5115E+04	  4.7796E+04	  3.0653E+05	  3.0133E+07	  9.5369E+04	  1.4864E+04	  6.1832E+04	  1.6909E+03	  5.3631E+05	  7.8213E+07	  1.0657E+03	0.999
1999	6	  5.6855E+04	  5.9892E+04	  4.1818E+05	  3.0173E+07	  1.2559E+05	  2.3020E+04	  9.1562E+04	  2.2506E+03	  5.5491E+05	  7.7595E+07	  1.0567E+03	0.969
